lat,lon,name,weight,food
49.2277796,-122.8362961,FU Express,2.0,1
49.2276126,-122.83629379999999,Roadies,2.0,1
49.2504908,-122.8944559,Starbucks,3.0,1
49.251496,-122.8966693,Ihop,6.0,1
49.2507164,-122.8956836,Cinnzeo,3.0,1
49.2808969,-123.1073143,McDonald's,2.0,1
49.2808034,-123.1074514,Goldies,6.0,1
49.2808098,-123.1070156,Caveman Cafe,3.0,1
49.2799281,-123.1066781,Taco Time,2.0,1
49.2801333,-123.1063965,Abdul's Bbq,6.0,1
49.2799047,-123.106734,Bubble King,2.0,1
49.2799553,-123.1066209,Tina,2.0,1
49.2800166,-123.1065184,Thai Town,2.0,1
49.2801753,-123.1063639,Wow Thai Food,2.0,1
49.2802143,-123.1063341,Bali Thai,2.0,1
49.2802598,-123.1063002,Giant Panda,2.0,1
49.3050257,-123.0144026,Tim Hortons,2.0,1
49.3059961,-123.0105992,Y2 Cafe,6.0,1
49.2309718,-123.0653719,Lucky Dragon Palace Restaurant,6.0,1
49.2710854,-123.1553081,Cafe Zen,6.0,1
49.2691827,-123.0694303,Federico's Supper Club,6.0,1
49.1953219,-123.1781022,Galiano Bakery & Cafe,3.0,1
49.1960345,-123.1771649,Wendy's,2.0,1
49.1957016,-123.1769158,Thai Hang,2.0,1
49.0660353,-122.324949,Abbotsford Flea Market,9.0,0
49.0365009,-122.2911624,Papa John's,2.0,1
49.2830915,-123.1356339,Kinara,6.0,1
49.2869536,-123.1410819,The Park at English Bay,6.0,1
49.28645,-123.1403248,Yummy to Go,2.0,1
49.286609,-123.1405889,Grotto,6.0,1
49.2865567,-123.1410036,Tim Hortons,3.0,1
49.2621152,-122.8898637,Pizza Factory,6.0,1
49.2785849,-123.0706042,York Theatre,5.0,0
49.2701364,-123.1087347,BMO Theatre Centre,5.0,0
49.2249319,-123.1086853,Studio 58,5.0,0
49.2037107,-123.1375228,Metro Theatre,5.0,0
49.0298938,-122.800849,Coast Capital Playhouse,5.0,0
49.3378962,-123.1600566,Kay Meek Centre for the Performing Arts,5.0,0
49.2911911,-123.1301625,PAL Studio Theatre,5.0,0
49.0371698,-122.3117361,Library Services,2.0,0
49.2726318,-123.1353692,Fraser Valley Juice,2.0,1
49.2726607,-123.1353169,Pizza Pzazz,2.0,1
49.2295422,-123.0031558,Wu Han Spicy Duck,2.0,1
49.2289206,-123.0043591,S&W Pepper House,6.0,1
49.2195995,-122.9680176,Church's Chicken,2.0,1
49.2186313,-122.955309,Cora,2.0,1
49.2128537,-122.9368713,Subway,2.0,1
49.2821283,-123.1164589,Bay Sushi Cafe,2.0,1
49.2820949,-123.1165023,Kung Fu Noodle,2.0,1
49.2826167,-123.1151176,Pokérrito,2.0,1
49.282708,-123.1147514,Dae Ji,2.0,1
49.2826109,-123.1146226,Sushi Home,2.0,1
49.2825668,-123.1145555,Big Bowl Rice,2.0,1
49.1771813,-122.6691551,McDonald's,2.0,1
49.2029525,-122.9086925,Fresh Slice Pizza,2.0,1
49.2116185,-122.9237431,Panago,2.0,1
49.1059413,-122.6624961,NY's Indian Grill & Bar,6.0,1
49.1553312,-122.6687199,S&L,6.0,1
49.1693268,-122.6664782,White Spot,6.0,1
49.1694686,-122.6657545,The Old Spaghetti Factory,6.0,1
49.1771408,-122.6734773,Zythos Greek Restaurant,6.0,1
49.1128069,-122.6724406,Starbucks,3.0,1
49.1126928,-122.6723021,Chipotle,2.0,1
49.1165969,-122.8220789,Bell Performing Arts Centre,5.0,0
49.2915693,-123.1275164,Cardero's,6.0,1
49.2839339,-123.1223497,Shabusen,6.0,1
49.2616646,-122.8909069,Hanano Sushi & Grill,6.0,1
49.274232,-123.1239335,House Special,6.0,1
49.2747239,-123.1227038,La Pentala,6.0,1
49.2745568,-123.1232818,Kuma,6.0,1
49.2744227,-123.1235737,Saigon Xua,6.0,1
49.274321,-123.1237748,Tasty Indian Bistro,6.0,1
49.2619031,-122.8906425,C-Lovers Fish & Chips,6.0,1
49.275171,-123.1225726,Hapa Izakaya,6.0,1
49.2750527,-123.1221518,Living Produce Aisle,2.0,1
49.2751034,-123.1220829,The Flying Pig,6.0,1
49.2752946,-123.1211862,Robba Da Matti,6.0,1
49.2751593,-123.1213923,Paulies Kitchen,6.0,1
49.2750611,-123.1210797,Zend Conscious Lounge,6.0,1
49.2751119,-123.1214624,Mister,2.0,1
49.274839,-123.1218884,Sushi Maro,6.0,1
49.1537523,-123.1584726,McDonald's,2.0,1
49.1548975,-123.1578804,Subway,2.0,1
49.2829831,-123.1098733,New Amsterdam Cafe,3.0,1
49.1329664,-123.0980826,Maruwa Sushi,6.0,1
49.2613286,-123.1007513,Josephines Restaurant and Catering,6.0,1
49.261745,-123.1007497,Charlie's Little Italian,6.0,1
49.2624382,-123.1007191,Bean Around The World,3.0,1
49.262522,-123.1007068,Cafe Barney,6.0,1
49.2631687,-123.1007163,Frenchies Diner,6.0,1
49.263303,-123.1007167,Pizza 604,2.0,1
49.2631099,-123.1018738,Chutney Villa,6.0,1
49.2624451,-123.1012839,Kafka's Coffee and Tea,3.0,1
49.2635678,-123.1006513,The Wallflower,6.0,1
49.2622376,-123.1012945,Sunny Spot,3.0,1
49.2565248,-123.0062372,G-Be Izakaya,6.0,1
49.321953,-123.0728213,Alberello Pizzeria,6.0,1
49.1047469,-122.7990471,Tim Hortons,3.0,1
49.1691756,-122.9586576,Wendy's,2.0,1
49.1692142,-122.9585182,Tim Hortons,2.0,1
49.1720147,-122.9461371,Subway,2.0,1
49.1710599,-122.9466253,Twin Bridges Restaurant,6.0,1
49.1024107,-122.6599622,Chef's Kitchen,6.0,1
49.1039972,-122.6614314,Silver Dragon Restaurant,6.0,1
49.1039933,-122.6615637,Panago,2.0,1
49.1044687,-122.6630486,Jim's Pizzeria,6.0,1
49.1052988,-122.6586384,Masala India Bistro,6.0,1
